depth,seed,grad_mean_abs,grad_variance,grad_norm
1,11,0.0017700063763186336,8.241423529398162e-06,0.008740118704736233
1,23,0.001994516234844923,1.1003718100255355e-05,0.010481168515980244
1,42,0.0019261742709204555,1.1866857676068321e-05,0.009773860685527325
1,77,0.002461963566020131,1.0306580406904686e-05,0.010553862899541855
1,101,0.0039489855989813805,3.502038089209236e-05,0.01756882667541504
2,11,0.006701587233692408,7.505587564082816e-05,0.030183058232069016
2,23,0.0038054317701607943,2.88772916974267e-05,0.018644845113158226
2,42,0.00275995209813118,2.1456193280755542e-05,0.01748012751340866
2,77,0.0025038928724825382,1.658989094721619e-05,0.0142902173101902
2,101,0.003169926581904292,3.591350105125457e-05,0.020763540640473366
3,11,0.004448814317584038,4.229359910823405e-05,0.027067430317401886
3,23,0.005746623035520315,9.952017717296258e-05,0.03994069620966911
3,42,0.0026473961770534515,1.7366972315357998e-05,0.017443785443902016
3,77,0.004058351274579763,6.982756167417392e-05,0.033425360918045044
3,101,0.0024405838921666145,1.555662674945779e-05,0.015847183763980865
4,11,0.0024063896853476763,1.3716229659621604e-05,0.016704604029655457
4,23,0.003319365903735161,3.154495789203793e-05,0.026564089581370354
4,42,0.002852475503459573,1.660919951973483e-05,0.018514545634388924
4,77,0.006106561981141567,0.0001102862079278566,0.04956459999084473
4,101,0.003377234563231468,3.936692883144133e-05,0.030270883813500404
5,11,0.001749139279127121,7.529737104050582e-06,0.013457901775836945
5,23,0.001947652199305594,5.822261755383806e-06,0.012387970462441444
5,42,0.0038290023803710938,5.226518624112941e-05,0.03542207181453705
5,77,0.0032691166270524263,4.15360918850638e-05,0.03220752999186516
5,101,0.0039997524581849575,6.668559944955632e-05,0.04164164140820503
